ID_P,ID_T,DESCRICAO,IDADE,SEXO,GESTANTE OU SUSPEITA,PESO
307,4,"ATENÇÃO: Antes do exame todos os pacientes serão avaliados pela equipe de enfermagem e médica, em caso de alguma condição de risco for encontrada, haverá a possibilidade do exame não poder ser realizado;
Na véspera do exame, cliente pode fazer alimentação sólida (alimentação leve) até ás 21:00 horas e pode fazer alimentação líquida (água) até ás 24:00 horas após esse horário não se alimentar ou ingerir líquidos; 
Para exames marcados pela manhã: Jejum absoluto no dia do exame. Para clientes anti-hipertensivos, tomar medicamentos com pouca água; 
Preparo para os exames realizados no período da tarde: Realizar somente o café da manhã às 07:30h, poderá ingerir chá, café com duas torradas, sem leite. Após às 07:30h jejum de alimentos sólidos, podendo ingerir agua até 2 h antes do exame;",,,,
308,4,"O cliente deverá comparecer à unidade com o pedido médico original, documento com foto e carteirinha do convênio,  para a retirada do preparo e do manitol, medicamento utilizado em casa para o preparo do intestino, de 3 a 5 dias antes da data marcada para a realização do exame;
 O uso do Manitol é obrigatório para a realização do exame, esse é um medicamento para o preparo do exame que não é vendido em farmácia, por este motivo o mesmo deverá ser retirado nas unidades em horário comercial.
Atenção: Não será entregue com mais de 5 dias de antecedência da data do exame; ",,,,
,,Informamos que o Laboratório {Nome_Marca} não realiza Colonoscopia com Anuscopia.,,,,
309,4,"Fazer alimentação leve, a base de carne magra, frango ou peixe (cozida ou grelhada), massas (macarrão com molho de tomate coado sem casca ou semente, pão, etc.), suco coado, arroz com caldo de feijão, deve evitar verduras, frutas com casca ou bagaço, leites e derivados;",,,,
310,4,Abstinência sexual após o 1º dia do ciclo menstrual;,,F,,
311,4,"Manter jejum de mais ou menos 3 h, não realizar a última mamada e trazer a mamadeira;",Até 6 meses,,,
,,Jejum de 3h e trazer mamadeira;,de 6 meses a 1 ano,,,
,, Tomar 30 gotas de LUFTAL ®  1h antes do exame e fazer jejum de 4h podendo fazer ingestão de água apenas;,De 4 a 8 anos,,,
,, Tomar 60 gotas de LUFTAL ®  1h antes do exame e fazer jejum de 6h podendo fazer ingestão de água apenas;,De 8 a 12 anos,,,
,, Tomar 100 gotas de LUFTAL ®  1h antes do exame e fazer jejum de 8h podendo fazer ingestão de água apenas;,Acima de 12 anos,,,
312,4, Não tomar a última mamada e vir fazer o exame com a mamadeira;,Até 2 anos,,,
,, Jejum de 4h e tomar 2 copos de água 1h antes do exame e reter urina;,Até 10 anos,,,
,, Jejum 6h e tomar 4 copos de água 1h antes do exame e reter a urina;,Acima de 11 anos,,,
,,"Quando realizar este exame junto com exames de urina ou que necessite que a bexiga esteja vazia, é necessário realizar primeiro os exames de bexiga vazia, após o término deste exame começar o preparo hídrico (intervalo de aproximadamente 1 hora e 30 minutos entre os exames);",,,,
313,4,Não tomar a última mamada e vir fazer o exame com a mamadeira;,Até 2 anos,,,
,, Jejum de 4h;,Até 10 anos,,,
,, Jejum 6h;,Acima de 11 anos,,,
314,4,"Jejum absoluto de 8h quando procedimentos com anestesia;
Tomar 4 copos de água uma hora antes do exame e reter a urina. 
Quando realizar este exame junto com exames de urina ou que necessite que a bexiga esteja vazia, é necessário realizar primeiro os exames de bexiga vazia, após o término deste exame começar o preparo hídrico (intervalo de aproximadamente 1 hora e 30 minutos entre os exames).
Exame realizado somente com pedido médico com anestesia/sedação endovenosa
Exame realizado no laboratório em regime ambulatorial até os 70 anos;
Tempo de permanência no Laboratório em média 3 horas, mas podendo se estender, se necessário;
Jejum absoluto de 8 horas (apenas para procedimento com anestesia/sedação endovenosa);",,,,
401,5,"Não tomar medicamentos para tontura ou Labirintite;
Não suspender os medicamentos para doenças do coração, diabetes e pressão;",,,,
501,6,"Não tomar chá preto, chá mate, café, chocolate, bebida alcóolica;",,,,
601,7,"No dia da realização do exame não utilizar gel e estar com o cabelo seco;
Usar roupa íntima de algodão e não usar tecidos sintéticos;
É necessário comparecer sem maquiagem, bem como sem joias, brincos, pingentes e recomenda-se a retirada de piercings;
Para realização do exame, poderá utilizar roupa que não contenha metal, por exemplo, moletom, malha ou nylon,  caso contrário o setor disponibilizará uma roupa privativa adequado para realização do exame;",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
602,7,"No dia do exame, não fumar e não ingerir café ou refrigerante;",,,,
603,7,"Fazer refeições leves até 2h antes do exame, não comparecer em jejum;
Não usar creme no rosto, maquiagem e lentes de contato;
Chegar com 40 minutos de antecedência do horário marcado; 
",,,,
604,7,Não fazer uso de esmalte nas unhas;,,,,
605,7,No dia do exame utilizar roupa sem zíper e botões; ,,,,
606,7,Levar no dia do exame resultado de Papanicolau recente (últimos 30 dias) sem sinais de infecção;,,F,,
607,7,"Cliente com idade superior a 60 anos ou com histórico de Hipertensão Arterial e/ou problemas cardiovasculares (Independente da idade), devem trazer no dia do exame carta do cardiologista liberando a realização de anestesia ou sedação endovenosa;",,,,
701,8,"Não suspender medicações, sem autorização médica;",,,,
702,8,"Cliente deve suspender a critério médico, o uso continuo de Ácido Acetilsalicílico (ASPIRINA ® OU AAS ®) e outros anticoagulantes 5 dias antes e após o exame;",,,,
703,8,Ingerir normalmente os medicamentos que faça uso;,,,,
704,8,"HIPOGLICEMIANTES devem ser suspensos no dia do exame;
Outros medicamentos podem ser ingeridos normalmente;
Caso o cliente utilize anticoagulantes ou anticoagulantes plaquetários deve suspender cinco dias antes do exame, (com autorização prévia do médico que o prescreveu).
Caso esteja utilizando o medicamento CLOPIDOGREL (ANTI AGREGANTE), o exame deverá ser realizado em ambiente hospitalar;",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
705,8,"Suspender somente no dia do exame, medicamentos que contém CÁLCIO;",,,,
706,8,"Tomar 40 gotas de Luftal® (não pode ser Espasmoluftal) a cada 6 horas, iniciando 24 horas antes do exame, e a última dose tomar antes de sair de casa para vir ao laboratório, podendo tomar um pouco de água.
Tomar às 17h do dia anterior, 2 (dois) comprimidos de Dulcolax® por via oral (observação: o Dulcolax poderá trazer efeitos adversos como: diarreia, cólicas e enjoo). Caso o paciente seja alérgico ao Dulcolax® o mesmo poderá ser substituído por Lacto-Purga® 5mg. ",,,,
707,8,"Atenção:
As suspensões dos medicamentos devem ocorrer após consultar o seu médico;
Suspender por 15 dias: PERSANTIN ®, PLAVIX ®, TICLID ®, medicamentos fitoterápicos, como GINKGO BILOBA ® e CASCARA SAGRADA ®. 
Suspender por 10 dias: BUFERIN ® e TRENTAL ®;
Suspender por 7 dias:  AAS ® e AAS INFANTIL ®, MAREVAN ®, SOMALGIN ®
No dia do exame: Não tomar hipoglicemiante oral e insulina. Clientes estarão liberados para fazer uso desses medicamentos após o exame ao ser orientados a quebrar o jejum;
Medicações para Hipertensão Arterial não deverão ser suspensas;
Na véspera do exame:
Tomar 1 comprimido de Ciprofloxacino de 500mg via oral 12 horas antes da biópsia, receituário será fornecido pela unidade;
No dia do exame:
Tomar 1 comprimido de Ciprofloxacino de 500 mg via oral, 2 horas antes de realizar o exame.
Aplicar 1 Fleet Enema ou Minilax ou Enemaplex via retal (apenas para procedimentos com anestesia/sedação endovenosa) 1 hora antes de sair de casa, para realizar o exame. A aplicação não é realizada no CDB.
Após o Exame:
Tomar 1 comprimido de Ciprofloxacino de 500mg via oral de 12 em 12 horas durante 6 dias no total de 14 comprimidos. (o médico orientará os horários).
Tomar medicações para hipertensão arterial normalmente;
Não tomar hipoglicemiante oral nem insulina no dia do exame, o paciente vai tomar após quebra do jejum.
Suspender por 07 dias  Anticoagulante e Antiagregantes Plaquetários, AAS e AAS infantil, Marevan, Somalgin, Clopidogrel, Marcoumar
Suspender por 10 dias- Buferin, Trental.
Suspender por 15 dias- Persantin, Plavix, Ticlid, medicamentos fitoterápicos (Ginkgo Biloba e Cascara sagrada).
As suspensões dos medicamentos devem ocorrer após consultar seu médico.",,,,
708,8,"Suspender a critério médico, o uso de  ASPIRINAS (AAS) e anticoagulantes 5 dias antes do exame; ",,,,
801,9,"Trazer exames e biópsias anteriores caso tenha.
Caso possua exames de sangue recente (últimos 3 meses) com valores de ureia e creatinina é importante apresentar no dia do exame, porém caso tenha doença renal a apresentação desses exames realizados nos últimos 30 dias são obrigatórios.",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
802,9,"Trazer exames anteriores recentes de Retossigmoidoscopia, Colonoscopia, Enema Opaco, Trânsito Intestinal ou outros exames anteriores relacionados; 
",,,,
803,9,"É obrigatório enviar/levar 7 dias antes por e-mail (procedimentos@cdb.com.br) ou ir até a unidade, os exames  mais recentes de: Hemograma, Coagulograma (se o paciente fizer uso de anticoagulante, deverá trazer no dia do exame, resultado do Coagulograma realizado até 2 dias antes da biopsia), Urina e Urocultura (exames solicitados pelo seu médico) os quais devem ter sido realizados até 90 dias antes do dia da biópsia;
Trazer resultado do PSA o mais recente. (Sem o resultado do PSA não será possível realizar o exame);
Trazer exames anteriores, Ultrassonografia de Próstata abdominal ou transretal e biópsias anteriores;",,,,
804,9,Trazer exames anteriores,,,,
901,10,"Cliente deve vir trajando blusa ou camisa confortáveis, de manga larga, com botões que possam ser abertos na frente para a aplicação e ajuste do equipamento com facilidade e conforto;
Obrigatório trazer um cinto (não pode ser o que estiver usando, precisa ser um cinto exclusivo para o aparelho) para a fixação do monitor. ",,,,
902,10,"No dia do exame utilizar roupas de botões, como por exemplo camisa;",,,,
1001,11,"jejum de 1 hora e trazer chupeta, mamadeira, bolacha ou outro lanche que a criança esteja habituada e goste muito; ",Até 3 anos,,,
,,"não tem preparo, apenas trazer no dia do exame mamadeira, bolacha ou outro lanche que a criança esteja habituada e goste muito;",De 4 a 8 anos,,,
,,"devem vir com acompanhante (maior de idade), caso contrário o exame não será realizado;",De 8 a 18 anos,,,
1002,11,"Deverão comparecer com um adulto responsável portanto documentos oficiais com foto, caso contrário o exame não poderá ser realizado;",De 8 a 18 anos,,,
1101,12,Jejum de 2h;,Até 14 anos,,,
,,Jejum de 6h;,Acima de 14 anos,,,
,, No dia do exame: Jejum absoluto de 6 horas;,,,,
1102,12,Jejum de 2h;,,,,
1103,12,"No dia do exame jejum de 4h, exceto água

",,,,
